algorithm,community_id,size,mule_count,mule_purity,is_likely_syndicate,sample_members
Louvain,Louvain_001,10,6,0.6,False,M00107;M00177;VACC_0002;M00142;VACC_0491
Louvain,Louvain_002,18,6,0.3333,False,VACC_0127;VACC_0130;VACC_0129;M00153;VACC_0128
Louvain,Louvain_003,52,6,0.1154,False,VACC_0158;VACC_0150;VACC_0145;VACC_0153;M00016
Louvain,Louvain_004,40,6,0.15,False,VACC_0252;M00161;M00091;VACC_0244;VACC_0240
Louvain,Louvain_005,11,6,0.5455,False,VACC_0472;VACC_0294;M00025;VACC_0295;VACC_0293
Louvain,Louvain_006,33,5,0.1515,False,M00167;VACC_0336;VACC_0316;VACC_0322;VACC_0318
Louvain,Louvain_007,8,5,0.625,True,M00066;VACC_0352;M00031;VACC_0354;M00136
Louvain,Louvain_008,25,5,0.2,False,VACC_0360;VACC_0364;VACC_0357;M00172;M00032
Louvain,Louvain_009,10,6,0.6,False,VACC_0479;M00003;M00073;M00038;M00108
Louvain,Louvain_010,25,6,0.24,False,VACC_0009;VACC_0483;VACC_0013;M00145;VACC_0019
Louvain,Louvain_011,40,6,0.15,False,VACC_0076;VACC_0073;VACC_0062;VACC_0078;VACC_0057
Louvain,Louvain_012,8,6,0.75,True,M00079;M00149;VACC_0471;M00114;M00009
Louvain,Louvain_013,29,6,0.2069,False,VACC_0219;VACC_0212;M00123;VACC_0202;VACC_0208
Louvain,Louvain_014,9,6,0.6667,True,M00176;VACC_0467;M00036;M00106;M00071
Louvain,Louvain_015,47,5,0.1064,False,VACC_0437;VACC_0416;VACC_0419;VACC_0415;VACC_0428
Louvain,Louvain_016,13,6,0.4615,False,VACC_0044;M00042;VACC_0046;M00077;M00007
Louvain,Louvain_017,18,6,0.3333,False,VACC_0286;M00024;VACC_0495;VACC_0285;VACC_0283
Louvain,Louvain_018,8,5,0.625,True,M00100;M00170;M00030;VACC_0351;VACC_0494
Louvain,Louvain_019,34,5,0.1471,False,VACC_0384;VACC_0398;VACC_0400;VACC_0393;M00034
Louvain,Louvain_020,24,6,0.25,False,VACC_0034;VACC_0029;VACC_0026;VACC_0030;VACC_0027
Louvain,Louvain_021,10,6,0.6,False,VACC_0008;VACC_0457;M00179;VACC_0007;M00039
Louvain,Louvain_022,17,6,0.3529,False,VACC_0140;VACC_0142;M00049;VACC_0141;M00154
Louvain,Louvain_023,20,6,0.3,False,M00157;VACC_0191;VACC_0190;M00052;VACC_0194
Louvain,Louvain_024,11,6,0.5455,False,M00055;VACC_0460;VACC_0239;M00195;VACC_0238
Louvain,Louvain_025,1,0,0.0,False,L00020
Louvain,Louvain_026,1,0,0.0,False,L00032
Louvain,Louvain_027,1,0,0.0,False,L00034
Louvain,Louvain_028,1,0,0.0,False,L00051
Louvain,Louvain_029,1,0,0.0,False,L00052
Louvain,Louvain_030,1,0,0.0,False,L00057
Louvain,Louvain_031,209,0,0.0,False,L00647;L00191;L00050;L00893;L00733
Louvain,Louvain_032,1,0,0.0,False,L00089
Louvain,Louvain_033,1,0,0.0,False,L00091
Louvain,Louvain_034,1,0,0.0,False,L00117
Louvain,Louvain_035,1,0,0.0,False,L00139
Louvain,Louvain_036,100,0,0.0,False,L00023;L00760;L00824;L00033;L00210
Louvain,Louvain_037,1,0,0.0,False,L00214
Louvain,Louvain_038,1,0,0.0,False,L00220
Louvain,Louvain_039,1,0,0.0,False,L00227
Louvain,Louvain_040,1,0,0.0,False,L00248
Louvain,Louvain_041,1,0,0.0,False,L00260
Louvain,Louvain_042,195,0,0.0,False,L00424;L00652;L00986;L00407;L00736
Louvain,Louvain_043,1,0,0.0,False,L00265
Louvain,Louvain_044,2,0,0.0,False,L00270;L00885
Louvain,Louvain_045,1,0,0.0,False,L00300
Louvain,Louvain_046,1,0,0.0,False,L00329
Louvain,Louvain_047,1,0,0.0,False,L00397
Louvain,Louvain_048,1,0,0.0,False,L00423
Louvain,Louvain_049,1,0,0.0,False,L00431
Louvain,Louvain_050,1,0,0.0,False,L00441
Louvain,Louvain_051,1,0,0.0,False,L00454
Louvain,Louvain_052,1,0,0.0,False,L00459
Louvain,Louvain_053,1,0,0.0,False,L00464
Louvain,Louvain_054,1,0,0.0,False,L00509
Louvain,Louvain_055,1,0,0.0,False,L00559
Louvain,Louvain_056,1,0,0.0,False,L00561
Louvain,Louvain_057,1,0,0.0,False,L00571
Louvain,Louvain_058,1,0,0.0,False,L00575
Louvain,Louvain_059,1,0,0.0,False,L00579
Louvain,Louvain_060,1,0,0.0,False,L00585
Louvain,Louvain_061,1,0,0.0,False,L00629
Louvain,Louvain_062,1,0,0.0,False,L00646
Louvain,Louvain_063,233,0,0.0,False,L00550;L00631;L00649;L00283;L00732
Louvain,Louvain_064,1,0,0.0,False,L00663
Louvain,Louvain_065,1,0,0.0,False,L00719
Louvain,Louvain_066,1,0,0.0,False,L00728
Louvain,Louvain_067,1,0,0.0,False,L00750
Louvain,Louvain_068,1,0,0.0,False,L00775
Louvain,Louvain_069,1,0,0.0,False,L00777
Louvain,Louvain_070,1,0,0.0,False,L00792
Louvain,Louvain_071,1,0,0.0,False,L00794
Louvain,Louvain_072,105,0,0.0,False,L00515;L00917;L00796;L00271;L00140
Louvain,Louvain_073,1,0,0.0,False,L00823
Louvain,Louvain_074,1,0,0.0,False,L00854
Louvain,Louvain_075,1,0,0.0,False,L00865
Louvain,Louvain_076,103,0,0.0,False,L00674;L00353;L00772;L00471;L00045
Louvain,Louvain_077,1,0,0.0,False,L00882
Louvain,Louvain_078,1,0,0.0,False,L00916
Louvain,Louvain_079,1,0,0.0,False,L00928
Louvain,Louvain_080,1,0,0.0,False,L00930
Louvain,Louvain_081,1,0,0.0,False,L00937
Louvain,Louvain_082,1,0,0.0,False,L00938
Louvain,Louvain_083,1,0,0.0,False,L00984
Louvain,Louvain_084,1,0,0.0,False,L00985
Louvain,Louvain_085,27,6,0.2222,False,VACC_0091;VACC_0088;M00045;VACC_0090;VACC_0096
Louvain,Louvain_086,13,6,0.4615,False,VACC_0105;VACC_0102;VACC_0493;VACC_0106;M00151
Louvain,Louvain_087,21,6,0.2857,False,VACC_0118;VACC_0111;VACC_0110;VACC_0119;VACC_0113
Louvain,Louvain_088,9,6,0.6667,True,M00190;VACC_0474;VACC_0455;M00050;M00120
Louvain,Louvain_089,20,6,0.3,False,M00054;M00124;VACC_0229;VACC_0227;VACC_0488
Louvain,Louvain_090,10,6,0.6,False,VACC_0273;M00092;M00162;M00197;M00057
Louvain,Louvain_091,14,6,0.4286,False,VACC_0276;VACC_0279;M00128;M00093;VACC_0277
Louvain,Louvain_092,26,5,0.1923,False,VACC_0490;VACC_0299;M00131;VACC_0312;VACC_0306
Louvain,Louvain_093,15,5,0.3333,False,VACC_0485;M00028;VACC_0344;M00063;M00098
Louvain,Louvain_094,10,5,0.5,False,VACC_0346;M00134;M00029;M00099;VACC_0347
Louvain,Louvain_095,15,5,0.3333,False,M00068;M00033;VACC_0374;VACC_0376;M00103
Label_Propagation,Label_Propagation_001,9,6,0.6667,True,M00176;VACC_0467;M00036;M00106;M00071
Label_Propagation,Label_Propagation_002,10,6,0.6,False,M00107;M00177;VACC_0002;M00142;VACC_0491
Label_Propagation,Label_Propagation_003,10,6,0.6,False,VACC_0479;M00003;M00073;M00038;M00108
Label_Propagation,Label_Propagation_004,10,6,0.6,False,VACC_0008;M00074;VACC_0457;M00179;VACC_0007
Label_Propagation,Label_Propagation_005,25,6,0.24,False,VACC_0483;VACC_0021;M00040;VACC_0017;VACC_0018
Label_Propagation,Label_Propagation_006,24,6,0.25,False,VACC_0026;VACC_0027;M00041;VACC_0038;VACC_0041
Label_Propagation,Label_Propagation_007,13,6,0.4615,False,VACC_0044;M00042;VACC_0046;M00077;M00007
Label_Propagation,Label_Propagation_008,40,6,0.15,False,VACC_0076;VACC_0073;VACC_0057;VACC_0062;VACC_0063
Label_Propagation,Label_Propagation_009,8,6,0.75,True,M00079;M00149;VACC_0471;M00114;M00009
Label_Propagation,Label_Propagation_010,27,6,0.2222,False,VACC_0088;M00045;VACC_0090;VACC_0096;VACC_0095
Label_Propagation,Label_Propagation_011,13,6,0.4615,False,VACC_0105;VACC_0102;VACC_0493;VACC_0106;M00151
Label_Propagation,Label_Propagation_012,21,6,0.2857,False,VACC_0118;VACC_0119;VACC_0113;VACC_0112;VACC_0108
Label_Propagation,Label_Propagation_013,18,6,0.3333,False,M00188;VACC_0122;VACC_0127;M00083;VACC_0130
Label_Propagation,Label_Propagation_014,17,6,0.3529,False,VACC_0140;VACC_0142;M00049;M00154;M00189
Label_Propagation,Label_Propagation_015,9,6,0.6667,True,M00190;VACC_0474;VACC_0455;M00050;M00120
Label_Propagation,Label_Propagation_016,52,6,0.1154,False,VACC_0158;VACC_0145;VACC_0150;M00156;M00016
Label_Propagation,Label_Propagation_017,20,6,0.3,False,VACC_0190;M00052;VACC_0196;VACC_0189;M00192
Label_Propagation,Label_Propagation_018,29,6,0.2069,False,M00123;VACC_0212;VACC_0202;VACC_0218;VACC_0217
Label_Propagation,Label_Propagation_019,20,6,0.3,False,M00054;M00124;VACC_0229;VACC_0227;VACC_0488
Label_Propagation,Label_Propagation_020,11,6,0.5455,False,M00055;VACC_0460;VACC_0239;M00195;VACC_0238
Label_Propagation,Label_Propagation_021,40,6,0.15,False,VACC_0252;M00091;M00161;VACC_0240;VACC_0244
Label_Propagation,Label_Propagation_022,10,6,0.6,False,VACC_0273;M00092;M00162;M00197;M00057
Label_Propagation,Label_Propagation_023,14,6,0.4286,False,VACC_0276;VACC_0279;M00128;M00093;M00023
Label_Propagation,Label_Propagation_024,18,6,0.3333,False,VACC_0286;VACC_0288;M00024;VACC_0292;VACC_0285
Label_Propagation,Label_Propagation_025,11,6,0.5455,False,VACC_0293;VACC_0294;M00025;VACC_0295;VACC_0472
Label_Propagation,Label_Propagation_026,26,5,0.1923,False,VACC_0490;M00131;VACC_0299;VACC_0312;VACC_0306
Label_Propagation,Label_Propagation_027,33,5,0.1515,False,M00167;VACC_0336;VACC_0316;VACC_0322;VACC_0318
Label_Propagation,Label_Propagation_028,15,5,0.3333,False,M00028;VACC_0344;M00063;M00098;VACC_0341
Label_Propagation,Label_Propagation_029,10,5,0.5,False,VACC_0346;M00134;M00029;M00099;M00169
Label_Propagation,Label_Propagation_030,8,5,0.625,True,M00100;M00170;M00030;VACC_0351;VACC_0494
Label_Propagation,Label_Propagation_031,8,5,0.625,True,VACC_0353;M00066;VACC_0352;VACC_0354;M00136
Label_Propagation,Label_Propagation_032,25,5,0.2,False,VACC_0364;M00032;M00067;VACC_0372;VACC_0366
Label_Propagation,Label_Propagation_033,15,5,0.3333,False,M00068;M00033;VACC_0381;VACC_0376;M00103
Label_Propagation,Label_Propagation_034,34,5,0.1471,False,VACC_0384;VACC_0398;VACC_0400;VACC_0393;M00034
Label_Propagation,Label_Propagation_035,47,5,0.1064,False,VACC_0437;VACC_0416;VACC_0419;VACC_0415;VACC_0428
Label_Propagation,Label_Propagation_036,5,0,0.0,False,L00844;L00136;L00001;L00255;L00943
Label_Propagation,Label_Propagation_037,16,0,0.0,False,L00954;L00800;L00962;L00534;L00643
Label_Propagation,Label_Propagation_038,7,0,0.0,False,L00883;L00955;L00749;L00186;L00513
Label_Propagation,Label_Propagation_039,6,0,0.0,False,L00867;L00487;L00038;L00960;L00193
Label_Propagation,Label_Propagation_040,8,0,0.0,False,L00050;L00106;L00919;L00086;L00778
Label_Propagation,Label_Propagation_041,4,0,0.0,False,L00006;L00368;L00078;L00359
Label_Propagation,Label_Propagation_042,4,0,0.0,False,L00365;L00998;L00007;L00380
Label_Propagation,Label_Propagation_043,11,0,0.0,False,L00632;L00979;L00022;L00327;L00130
Label_Propagation,Label_Propagation_044,2,0,0.0,False,L00009;L00756
Label_Propagation,Label_Propagation_045,14,0,0.0,False,L00230;L00221;L00901;L00364;L00262
Label_Propagation,Label_Propagation_046,14,0,0.0,False,L00011;L00288;L00836;L00235;L00468
Label_Propagation,Label_Propagation_047,3,0,0.0,False,L00012;L00782;L00123
Label_Propagation,Label_Propagation_048,3,0,0.0,False,L00013;L00362;L00672
Label_Propagation,Label_Propagation_049,17,0,0.0,False,L00516;L00700;L00787;L00124;L00357
Label_Propagation,Label_Propagation_050,6,0,0.0,False,L00236;L00015;L00842;L00416;L00346
Label_Propagation,Label_Propagation_051,5,0,0.0,False,L00316;L00716;L00403;L00412;L00016
Label_Propagation,Label_Propagation_052,6,0,0.0,False,L00526;L00447;L00017;L00514;L00467
Label_Propagation,Label_Propagation_053,5,0,0.0,False,L00018;L00026;L00184;L00330;L00878
Label_Propagation,Label_Propagation_054,14,0,0.0,False,L00019;L00191;L00466;L00279;L00031
Label_Propagation,Label_Propagation_055,1,0,0.0,False,L00020
Label_Propagation,Label_Propagation_056,5,0,0.0,False,L00448;L00877;L00718;L00021;L00590
Label_Propagation,Label_Propagation_057,2,0,0.0,False,L00023;L00164
Label_Propagation,Label_Propagation_058,5,0,0.0,False,L00318;L00602;L00337;L00024;L00167
Label_Propagation,Label_Propagation_059,5,0,0.0,False,L00027;L00389;L00217;L00859;L00175
Label_Propagation,Label_Propagation_060,7,0,0.0,False,L00215;L00727;L00838;L00028;L00543
Label_Propagation,Label_Propagation_061,2,0,0.0,False,L00715;L00029
Label_Propagation,Label_Propagation_062,2,0,0.0,False,L00165;L00030
Label_Propagation,Label_Propagation_063,1,0,0.0,False,L00032
Label_Propagation,Label_Propagation_064,9,0,0.0,False,L00535;L00140;L00033;L00492;L00945
Label_Propagation,Label_Propagation_065,1,0,0.0,False,L00034
Label_Propagation,Label_Propagation_066,3,0,0.0,False,L00035;L00370;L00122
Label_Propagation,Label_Propagation_067,11,0,0.0,False,L00563;L00490;L00036;L00588;L01000
Label_Propagation,Label_Propagation_068,5,0,0.0,False,L00347;L00037;L00958;L00161;L00114
Label_Propagation,Label_Propagation_069,3,0,0.0,False,L00658;L00804;L00039
Label_Propagation,Label_Propagation_070,9,0,0.0,False,L00536;L00944;L00040;L00056;L00929
Label_Propagation,Label_Propagation_071,4,0,0.0,False,L00779;L00126;L00444;L00041
Label_Propagation,Label_Propagation_072,2,0,0.0,False,L00292;L00042
Label_Propagation,Label_Propagation_073,2,0,0.0,False,L00043;L00477
Label_Propagation,Label_Propagation_074,5,0,0.0,False,L00542;L00934;L00624;L00044;L00358
Label_Propagation,Label_Propagation_075,7,0,0.0,False,L00918;L00045;L00999;L00421;L00158
Label_Propagation,Label_Propagation_076,6,0,0.0,False,L00353;L00058;L00519;L00046;L00817
Label_Propagation,Label_Propagation_077,3,0,0.0,False,L00895;L00047;L00132
Label_Propagation,Label_Propagation_078,6,0,0.0,False,L00662;L00295;L00290;L00049;L00714
Label_Propagation,Label_Propagation_079,1,0,0.0,False,L00051
Label_Propagation,Label_Propagation_080,1,0,0.0,False,L00052
Label_Propagation,Label_Propagation_081,10,0,0.0,False,L00674;L00243;L00743;L00054;L00968
Label_Propagation,Label_Propagation_082,3,0,0.0,False,L00055;L00254;L00941
Label_Propagation,Label_Propagation_083,1,0,0.0,False,L00057
Label_Propagation,Label_Propagation_084,2,0,0.0,False,L00059;L00641
Label_Propagation,Label_Propagation_085,2,0,0.0,False,L00060;L00667
Label_Propagation,Label_Propagation_086,5,0,0.0,False,L00231;L00413;L00061;L00830;L00871
Label_Propagation,Label_Propagation_087,2,0,0.0,False,L00605;L00064
Label_Propagation,Label_Propagation_088,8,0,0.0,False,L00873;L00068;L00065;L00472;L00226
Label_Propagation,Label_Propagation_089,3,0,0.0,False,L00845;L00351;L00066
Label_Propagation,Label_Propagation_090,2,0,0.0,False,L00067;L00630
Label_Propagation,Label_Propagation_091,3,0,0.0,False,L00070;L00608;L00494
Label_Propagation,Label_Propagation_092,5,0,0.0,False,L00805;L00081;L00582;L00880;L00071
