iter	Logloss
0	0.5593270695
1	0.4380506179
2	0.3484433567
3	0.2796490838
4	0.2221617306
5	0.1811930376
6	0.1467815624
7	0.1192320655
8	0.09793098674
9	0.0826884999
10	0.07168777129
11	0.06123052485
12	0.05077123642
13	0.04334098592
14	0.0371272592
15	0.03226552571
16	0.02856597059
17	0.02502425138
18	0.02167633842
19	0.0188485973
20	0.01661965146
21	0.01497442863
22	0.01361347507
23	0.01244702199
24	0.01130126785
25	0.01018510917
26	0.009368883862
27	0.008559747303
28	0.007821623017
29	0.007324565859
30	0.0068473865
31	0.006348922673
32	0.005943773073
33	0.005486668909
34	0.005191095086
35	0.004861791695
36	0.004612199699
37	0.004341584093
38	0.004119009831
39	0.003898785395
40	0.003699727619
41	0.00353685337
42	0.003352360866
43	0.003187688309
44	0.003072433612
45	0.002961348435
46	0.002825718066
47	0.002718485454
48	0.002578230465
49	0.002512646072
50	0.002430196369
51	0.002313882113
52	0.002237576597
53	0.002168854545
54	0.002087231594
55	0.002012617097
56	0.001957337646
57	0.00189383065
58	0.001841880644
59	0.001778192029
60	0.001722961489
61	0.001681852341
62	0.001628979865
63	0.001579743974
64	0.001541395398
65	0.001517448005
66	0.001483998053
67	0.001442248155
68	0.00141125935
69	0.001352857755
70	0.00132863504
71	0.001309275189
72	0.001270631482
73	0.001241697283
74	0.001212313859
75	0.001186589458
76	0.001164552569
77	0.001142518924
78	0.001121529411
79	0.001096977907
80	0.001080398875
81	0.001066234182
82	0.00104288862
83	0.001021729147
84	0.001002940886
85	0.0009784132242
86	0.0009612122003
87	0.000950292717
88	0.0009347735082
89	0.0009192294934
90	0.0009024949635
91	0.0008896106306
92	0.0008730590343
93	0.0008584257434
94	0.0008492445245
95	0.0008322375662
96	0.0008203610778
97	0.000807942713
98	0.0007982209325
99	0.0007848210195
100	0.0007743569858
101	0.0007643608486
102	0.0007543218486
103	0.0007410317659
104	0.0007333106854
105	0.0007228484487
106	0.0007132041104
107	0.0007038679193
108	0.0006916713189
109	0.0006717777866
110	0.0006634468541
111	0.0006539332516
112	0.0006461541442
113	0.0006376145517
114	0.0006304318414
115	0.0006187952178
116	0.0006062519024
117	0.000596861103
118	0.0005876583212
119	0.0005799478468
120	0.0005741228952
121	0.0005685580127
122	0.0005627828924
123	0.0005547143957
124	0.0005495761247
125	0.0005442695583
126	0.0005393845194
127	0.0005349001025
128	0.0005293854457
129	0.0005249200498
130	0.0005158810055
131	0.0005116074401
132	0.0005050655674
133	0.0004994700937
134	0.0004931816283
135	0.0004883358145
